['20200303-161043'],['C:/Users/Y.Kojima/Desktop/test\\test (6) - コピー.vl'],['total=8489992192'],[' available=2779729920'],[' percent=67.3'],[' used=5710262272'],[' free=2779729920']
['20200303-161046'],['C:/Users/Y.Kojima/Desktop/test\\test (6).vl'],['total=8489992192'],[' available=2767859712'],[' percent=67.4'],[' used=5722132480'],[' free=2767859712']
['20200303-161049'],['C:/Users/Y.Kojima/Desktop/test\\test (7) - コピー.vl'],['total=8489992192'],[' available=2779246592'],[' percent=67.3'],[' used=5710745600'],[' free=2779246592']
['20200303-161054'],['C:/Users/Y.Kojima/Desktop/test\\test (8) - コピー - コピー.vl'],['total=8489992192'],[' available=2844086272'],[' percent=66.5'],[' used=5645905920'],[' free=2844086272']
['20200303-161057'],['C:/Users/Y.Kojima/Desktop/test\\test (8) - コピー.vl'],['total=8489992192'],[' available=2798002176'],[' percent=67.0'],[' used=5691990016'],[' free=2798002176']
['20200303-161103'],['C:/Users/Y.Kojima/Desktop/test\\test (9) - コピー - コピー - コピー.vl'],['total=8489992192'],[' available=2903207936'],[' percent=65.8'],[' used=5586784256'],[' free=2903207936']
['20200303-161106'],['C:/Users/Y.Kojima/Desktop/test\\test (9) - コピー - コピー.vl'],['total=8489992192'],[' available=2799763456'],[' percent=67.0'],[' used=5690228736'],[' free=2799763456']
['20200303-161109'],['C:/Users/Y.Kojima/Desktop/test\\新しいフォルダー\\test (1).vl'],['total=8489992192'],[' available=2763882496'],[' percent=67.4'],[' used=5726109696'],[' free=2763882496']
['20200303-161115'],['C:/Users/Y.Kojima/Desktop/test\\新しいフォルダー\\test (2).vl'],['total=8489992192'],[' available=2911969280'],[' percent=65.7'],[' used=5578022912'],[' free=2911969280']
['20200303-161118'],['C:/Users/Y.Kojima/Desktop/test\\新しいフォルダー (2)\\test (3).vl'],['total=8489992192'],[' available=2881994752'],[' percent=66.1'],[' used=5607997440'],[' free=2881994752']
['20200303-161121'],['C:/Users/Y.Kojima/Desktop/test\\新しいフォルダー (2)\\test (4).vl'],['total=8489992192'],[' available=2884898816'],[' percent=66.0'],[' used=5605093376'],[' free=2884898816']
['20200303-161128'],['C:/Users/Y.Kojima/Desktop/test\\新しいフォルダー (3)\\test (5).vl'],['total=8489992192'],[' available=2999660544'],[' percent=64.7'],[' used=5490331648'],[' free=2999660544']
['20200303-161236'],['C:/Users/Y.Kojima/Desktop/test\\test (10) - コピー - コピー - コピー.vl'],['total=8489992192'],[' available=2878341120'],[' percent=66.1'],[' used=5611651072'],[' free=2878341120']
['20200303-161239'],['C:/Users/Y.Kojima/Desktop/test\\test (6) - コピー.vl'],['total=8489992192'],[' available=2843529216'],[' percent=66.5'],[' used=5646462976'],[' free=2843529216']
['20200303-161242'],['C:/Users/Y.Kojima/Desktop/test\\test (6).vl'],['total=8489992192'],[' available=2855010304'],[' percent=66.4'],[' used=5634981888'],[' free=2855010304']
['20200303-161245'],['C:/Users/Y.Kojima/Desktop/test\\test (7) - コピー.vl'],['total=8489992192'],[' available=2872594432'],[' percent=66.2'],[' used=5617397760'],[' free=2872594432']
['20200303-161250'],['C:/Users/Y.Kojima/Desktop/test\\test (8) - コピー - コピー.vl'],['total=8489992192'],[' available=2921713664'],[' percent=65.6'],[' used=5568278528'],[' free=2921713664']
['20200303-161253'],['C:/Users/Y.Kojima/Desktop/test\\test (8) - コピー.vl'],['total=8489992192'],[' available=2894663680'],[' percent=65.9'],[' used=5595328512'],[' free=2894663680']
['20200303-161259'],['C:/Users/Y.Kojima/Desktop/test\\test (9) - コピー - コピー - コピー.vl'],['total=8489992192'],[' available=3001483264'],[' percent=64.6'],[' used=5488508928'],[' free=3001483264']
['20200303-161302'],['C:/Users/Y.Kojima/Desktop/test\\test (9) - コピー - コピー.vl'],['total=8489992192'],[' available=2892075008'],[' percent=65.9'],[' used=5597917184'],[' free=2892075008']
['20200303-161305'],['C:/Users/Y.Kojima/Desktop/test\\新しいフォルダー\\test (1).vl'],['total=8489992192'],[' available=2845511680'],[' percent=66.5'],[' used=5644480512'],[' free=2845511680']
['20200303-161310'],['C:/Users/Y.Kojima/Desktop/test\\新しいフォルダー\\test (2).vl'],['total=8489992192'],[' available=2908626944'],[' percent=65.7'],[' used=5581365248'],[' free=2908626944']
['20200303-161313'],['C:/Users/Y.Kojima/Desktop/test\\新しいフォルダー (2)\\test (3).vl'],['total=8489992192'],[' available=2933342208'],[' percent=65.4'],[' used=5556649984'],[' free=2933342208']
['20200303-161318'],['C:/Users/Y.Kojima/Desktop/test\\新しいフォルダー (2)\\test (4).vl'],['total=8489992192'],[' available=2871554048'],[' percent=66.2'],[' used=5618438144'],[' free=2871554048']
['20200303-161320'],['C:/Users/Y.Kojima/Desktop/test\\新しいフォルダー (3)\\test (5).vl'],['total=8489992192'],[' available=2883768320'],[' percent=66.0'],[' used=5606223872'],[' free=2883768320']
['20200303-162035'],['C:/Users/Y.Kojima/Desktop/test\\test (10) - コピー - コピー - コピー.vl'],['total=8489992192'],[' available=3067432960'],[' percent=63.9'],[' used=5422559232'],[' free=3067432960']
['20200303-162037'],['C:/Users/Y.Kojima/Desktop/test\\test (6) - コピー.vl'],['total=8489992192'],[' available=2971922432'],[' percent=65.0'],[' used=5518069760'],[' free=2971922432']
['20200303-162039'],['C:/Users/Y.Kojima/Desktop/test\\test (6).vl'],['total=8489992192'],[' available=2980528128'],[' percent=64.9'],[' used=5509464064'],[' free=2980528128']
['20200303-162045'],['C:/Users/Y.Kojima/Desktop/test\\test (7) - コピー.vl'],['total=8489992192'],[' available=3128279040'],[' percent=63.2'],[' used=5361713152'],[' free=3128279040']
['20200303-162048'],['C:/Users/Y.Kojima/Desktop/test\\test (8) - コピー - コピー.vl'],['total=8489992192'],[' available=3026006016'],[' percent=64.4'],[' used=5463986176'],[' free=3026006016']
['20200303-162053'],['C:/Users/Y.Kojima/Desktop/test\\test (8) - コピー.vl'],['total=8489992192'],[' available=3061063680'],[' percent=63.9'],[' used=5428928512'],[' free=3061063680']
['20200303-162055'],['C:/Users/Y.Kojima/Desktop/test\\test (9) - コピー - コピー - コピー.vl'],['total=8489992192'],[' available=3046072320'],[' percent=64.1'],[' used=5443919872'],[' free=3046072320']
['20200303-162058'],['C:/Users/Y.Kojima/Desktop/test\\test (9) - コピー - コピー.vl'],['total=8489992192'],[' available=3071983616'],[' percent=63.8'],[' used=5418008576'],[' free=3071983616']
['20200303-162101'],['C:/Users/Y.Kojima/Desktop/test\\新しいフォルダー\\test (1).vl'],['total=8489992192'],[' available=3059187712'],[' percent=64.0'],[' used=5430804480'],[' free=3059187712']
['20200303-162104'],['C:/Users/Y.Kojima/Desktop/test\\新しいフォルダー\\test (2).vl'],['total=8489992192'],[' available=3081633792'],[' percent=63.7'],[' used=5408358400'],[' free=3081633792']
['20200303-162107'],['C:/Users/Y.Kojima/Desktop/test\\新しいフォルダー (2)\\test (3).vl'],['total=8489992192'],[' available=3079692288'],[' percent=63.7'],[' used=5410299904'],[' free=3079692288']
['20200303-162110'],['C:/Users/Y.Kojima/Desktop/test\\新しいフォルダー (2)\\test (4).vl'],['total=8489992192'],[' available=3007741952'],[' percent=64.6'],[' used=5482250240'],[' free=3007741952']
['20200303-162113'],['C:/Users/Y.Kojima/Desktop/test\\新しいフォルダー (3)\\test (5).vl'],['total=8489992192'],[' available=2978701312'],[' percent=64.9'],[' used=5511290880'],[' free=2978701312']
